model,horizon,origin_date,expert,prior_mae,prior_observations,weight
top5_weighted_ensemble,1,2026-07-31,arima_5y,428.27849110185525,18,0.20125815665555988
top5_weighted_ensemble,1,2026-07-31,elasticnet_8y,428.51068630234244,18,0.20114910178358814
top5_weighted_ensemble,1,2026-07-31,arima_10y,445.87920552819963,18,0.19331365667155354
top5_weighted_ensemble,1,2026-07-31,arima_8y,450.94436381744174,18,0.19114229286471304
top3_simple_ensemble,3,2025-04-30,arima_8y,86.71641906824152,3,0.3333333333333333
top3_simple_ensemble,3,2025-04-30,arima_10y,89.4255794947112,3,0.3333333333333333
top3_simple_ensemble,3,2025-04-30,arima_5y,99.00296563052932,3,0.3333333333333333
top3_weighted_ensemble,3,2025-04-30,arima_8y,86.71641906824152,3,0.3514194829417601
top3_weighted_ensemble,3,2025-04-30,arima_10y,89.4255794947112,3,0.3407731806024379
top3_weighted_ensemble,3,2025-04-30,arima_5y,99.00296563052932,3,0.30780733645580205
top5_simple_ensemble,3,2025-04-30,arima_8y,86.71641906824152,3,0.2
top5_simple_ensemble,3,2025-04-30,arima_10y,89.4255794947112,3,0.2
top5_simple_ensemble,3,2025-04-30,arima_5y,99.00296563052932,3,0.2
top5_simple_ensemble,3,2025-04-30,lightgbm_return_10y,108.47068286582665,3,0.2
top5_simple_ensemble,3,2025-04-30,sarimax_10y,148.35954925472652,3,0.2
top5_weighted_ensemble,3,2025-04-30,arima_8y,86.71641906824152,3,0.23643179971836953
top5_weighted_ensemble,3,2025-04-30,arima_10y,89.4255794947112,3,0.22926906530944946
top5_weighted_ensemble,3,2025-04-30,arima_5y,99.00296563052932,3,0.20708994821674093
top5_weighted_ensemble,3,2025-04-30,lightgbm_return_10y,108.47068286582665,3,0.18901438143679383
top5_weighted_ensemble,3,2025-04-30,sarimax_10y,148.35954925472652,3,0.13819480531864628
top3_simple_ensemble,3,2025-05-31,ridge_10y,214.33275671869887,4,0.3333333333333333
top3_simple_ensemble,3,2025-05-31,lightgbm_return_5y,214.45096132671233,4,0.3333333333333333
top3_simple_ensemble,3,2025-05-31,lightgbm_return_10y,228.55828950341856,4,0.3333333333333333
top3_weighted_ensemble,3,2025-05-31,ridge_10y,214.33275671869887,4,0.34045931476981006
top3_weighted_ensemble,3,2025-05-31,lightgbm_return_5y,214.45096132671233,4,0.3402716548050515
top3_weighted_ensemble,3,2025-05-31,lightgbm_return_10y,228.55828950341856,4,0.31926903042513843
top5_simple_ensemble,3,2025-05-31,ridge_10y,214.33275671869887,4,0.2
top5_simple_ensemble,3,2025-05-31,lightgbm_return_5y,214.45096132671233,4,0.2
top5_simple_ensemble,3,2025-05-31,lightgbm_return_10y,228.55828950341856,4,0.2
top5_simple_ensemble,3,2025-05-31,ridge_8y,267.3118527516658,4,0.2
top5_simple_ensemble,3,2025-05-31,naive,275.9602190382079,4,0.2
top5_weighted_ensemble,3,2025-05-31,ridge_10y,214.33275671869887,4,0.22144978910805113
top5_weighted_ensemble,3,2025-05-31,lightgbm_return_5y,214.45096132671233,4,0.22132772677103468
top5_weighted_ensemble,3,2025-05-31,lightgbm_return_10y,228.55828950341856,4,0.2076666914053494
top5_weighted_ensemble,3,2025-05-31,ridge_8y,267.3118527516658,4,0.1775601915371716
top5_weighted_ensemble,3,2025-05-31,naive,275.9602190382079,4,0.1719956011783932
top3_simple_ensemble,3,2025-06-30,lightgbm_return_5y,191.05560512101692,5,0.3333333333333333
