"Date","Price","Open","High","Low","Vol.","Change %"
"12/12/2024","2,276.69","2,303.42","2,303.42","2,263.43","21.73M","-0.85%"
"12/11/2024","2,296.10","2,310.31","2,310.31","2,291.95","17.95M","-0.91%"
"12/10/2024","2,317.30","2,307.77","2,321.76","2,288.34","24.53M","0.07%"
"12/09/2024","2,315.74","2,318.08","2,329.15","2,301.44","17.09M","0.25%"
"12/06/2024","2,310.00","2,315.01","2,328.67","2,304.38","15.45M","-0.03%"
"12/05/2024","2,310.78","2,276.07","2,314.91","2,269.96","17.57M","1.88%"
"12/04/2024","2,268.14","2,249.86","2,279.44","2,241.53","22.71M","1.23%"
"12/03/2024","2,240.58","2,256.81","2,260.48","2,228.93","26.23M","-0.30%"
"12/02/2024","2,247.36","2,199.22","2,249.10","2,199.22","18.00M","2.57%"
"11/29/2024","2,191.12","2,185.47","2,200.86","2,178.52","20.38M","0.18%"
"11/28/2024","2,187.08","2,196.36","2,206.69","2,179.22","12.70M","0.02%"
"11/27/2024","2,186.69","2,201.95","2,204.30","2,168.60","15.68M","-0.60%"
"11/26/2024","2,199.85","2,196.78","2,223.45","2,186.63","14.05M","-0.13%"
"11/25/2024","2,202.76","2,218.68","2,219.72","2,196.23","25.29M","0.40%"
"11/22/2024","2,194.06","2,182.92","2,197.57","2,143.82","18.25M","0.74%"
"11/21/2024","2,178.03","2,155.16","2,184.97","2,132.40","19.93M","1.56%"
"11/20/2024","2,144.68","2,142.66","2,161.14","2,127.32","14.78M","1.00%"
"11/19/2024","2,123.35","2,194.03","2,197.05","2,079.99","26.88M","-2.81%"
"11/18/2024","2,184.70","2,193.74","2,210.07","2,163.92","15.85M","-0.19%"
"11/15/2024","2,188.75","2,245.25","2,245.25","2,188.46","20.32M","-2.63%"
"11/14/2024","2,247.93","2,235.69","2,247.93","2,204.91","39.80M","0.68%"
"11/13/2024","2,232.69","2,254.16","2,257.17","2,220.82","18.25M","-1.02%"
